epoch,generator_loss,discriminator_loss
1.0,-3.294507735137698,-6.204828841776788
2.0,5.02455930770198,-80.83381249633017
3.0,5.893115057786809,-112.13548534731322
4.0,3.7915260188187223,-134.39097377921962
5.0,-2.372169861310645,-158.38649517976785
6.0,-16.490507877325708,-175.6724731831611
7.0,-24.40270647821547,-181.20988367780853
8.0,-39.52565669108041,-188.83617183830165
9.0,-46.97224126586431,-191.2134793921362
10.0,-62.16764160500297,-171.83089867121058
11.0,-61.32589603903927,-122.97405733036089
12.0,-35.77923999066594,-38.35942747019514
13.0,-38.77728535140617,-26.64941418321827
14.0,-7.46976047037523,-6.429445118843755
15.0,-25.871869382978996,-18.9996056254906
16.0,-2.6450757667233673,2.0179206736480135
17.0,-1.6220843584477147,0.5819515087936498
18.0,-2.0285301415980617,-1.3887408598314357
19.0,-3.668734509922281,-2.8443710306022743
20.0,-7.015493778111059,-3.7558078056649316
21.0,-11.233391818743717,-4.134097677242907
22.0,-13.784904636914217,-4.731902231144
23.0,-15.59073277666599,-4.8062539281724375
24.0,-16.077913212248042,-5.099745955648301
25.0,-15.530116042004355,-5.462152069128012
26.0,-15.905777778806566,-5.939983310578745
27.0,-16.792697393441504,-6.716332299799859
28.0,-16.193292614779896,-7.070544333397588
29.0,-16.191281107407583,-7.2739812950544716
30.0,-17.96000045424775,-7.324156067039393
31.0,-16.900173032585577,-7.267371657528455
32.0,-15.269088192076623,-7.173632561406003
33.0,-17.36136576420144,-9.479743257353578
34.0,-5.303245088344888,2.4277941263929197
35.0,-12.756055500122566,-7.2216291291804255
36.0,-17.03614272233806,-9.04593941380706
37.0,-17.247861957248254,-9.765474337565747
38.0,-18.89978625389594,-11.867566295816928
39.0,-18.12667810313309,-10.842701860621005
40.0,-16.985525680493705,-11.068313465842717
41.0,-15.369375492198557,-5.524616931812672
42.0,-21.247845622557627,-16.784570639646507
43.0,-19.725527648684345,-11.132978695857373
44.0,-15.960290733771988,-10.938857763628416
45.0,-16.12531965141055,-14.62246792225898
46.0,-12.375160114674628,-3.295366538099096
47.0,-16.71653149701372,-14.32425784461106
48.0,-18.787854110138326,-14.638578646545168
49.0,-21.743715183644355,-18.913706163816816
50.0,-19.156671407856518,-18.452383189261713
51.0,-18.89950143536435,-15.553470564039447
52.0,-20.546355487425117,-23.51859455772593
53.0,-15.415871814270563,-21.82459171512459
54.0,-13.115945874135706,-14.971028883245927
55.0,-17.56057089944429,-20.10742045316515
56.0,-17.31578035181082,-26.453419845315473
57.0,-11.682608034791826,-27.161497384687014
58.0,-12.497048697894133,-25.543526329571687
59.0,-12.903806974616232,-40.67810008344771
60.0,-16.23904942334453,-27.14825046515163
61.0,-9.007861535760421,-26.30997282945657
62.0,-13.951423552217364,-34.345413378522366
63.0,-15.40764437823356,-39.580570951292785
64.0,-11.356207698206358,-43.160746827910216
65.0,-21.484308326923394,-61.85763054256198
66.0,-20.7944908896579,-67.09363910819911
67.0,-16.834718946037412,-64.07632713076434
68.0,-17.107041431378715,-63.485472045367274
69.0,-19.279737692090528,-66.66841645784015
70.0,-15.079969511756413,-83.21808063229427
71.0,-21.63142016869557,-101.47122395189503
72.0,-26.991717478896998,-101.46013188965713
73.0,-18.94745832757105,-134.273491931867
74.0,-24.678269292734846,-110.83199687547321
75.0,-14.480224933805346,-67.80041194263893
76.0,-14.549924451339093,-145.307977579817
77.0,-16.206698405591748,-143.61018581631816
78.0,12.266436658328093,-48.279519117331205
79.0,-5.125534428825861,-107.92527126058748
80.0,4.929501702513876,-109.53684809238096
81.0,7.055895123300673,65.51779259232026
82.0,-5.201347506498989,-161.6105994031399
83.0,-62.28925261618216,-241.4541497773762
84.0,-8.936429035814502,-242.3523313305046
85.0,30.551194486738762,37.88604724407196
86.0,-2.0646559558337247,-122.72429022004333
87.0,-19.57568108281003,-245.78014260304124
88.0,-9.27263949189005,-247.02126941198034
89.0,19.60871011094202,-83.34155347679234
90.0,31.212567252448842,-97.60730224319651
91.0,6.079496607750277,-290.8880739453473
92.0,-14.468290648882903,-327.2082257331172
93.0,-17.722597055797337,-322.60828243328046
94.0,-40.68359808378582,-214.64927732491796
95.0,26.54704863662961,-287.311764300624
96.0,67.38457175749767,21.50464752655995
97.0,-9.077733872812006,-367.1687154528461
98.0,47.62236931957776,-344.6445363503468
99.0,54.63782250428502,-184.85612370696248
100.0,-23.779587289955042,-60.080890003638935
